num_run,name,trace_id,latency,total_tokens,total_cost,status,batch_id,tags,prompt_tokens,completion_tokens,prompt_cost,completion_cost
0,5c_dp,5c77850d,74.5552726531372,18586,0.0048336,success,1128_dp_batch,"benchmark,data_processor,gpt-4o-mini",14040,4546,0.002106,0.0027276
1,a2_dp,a2e9e5f1,113.37714802807618,27874,0.007072800000000001,success,1128_dp_batch,"benchmark,data_processor,gpt-4o-mini",21448,6426,0.0032172,0.0038556
2,3d_dp,3d57e52c,92.43358177996826,19308,0.0050094,success,1128_dp_batch,"benchmark,data_processor,gpt-4o-mini",14612,4696,0.0021918,0.0028176
3,8c_dp,8cbdc248,82.86460775051879,18982,0.0050829,success,1128_dp_batch,"benchmark,data_processor,gpt-4o-mini",14014,4968,0.0021021,0.0029808
4,79_dp,79547eb9,75.9299351743164,19126,0.0050298,success,1128_dp_batch,"benchmark,data_processor,gpt-4o-mini",14324,4802,0.0021485999999999996,0.0028812000000000004
5,4e_dp,4e205516,102.54309350601196,19404,0.0051921,success,1128_dp_batch,"benchmark,data_processor,gpt-4o-mini",14334,5070,0.0021501000000000003,0.003042
6,dd_dp,ddcbf17c,70.6807896602478,17396,0.0042789,success,1128_dp_batch,"benchmark,data_processor,gpt-4o-mini",13686,3710,0.0020529,0.0022259999999999997
7,fb_dp,fb7f34f4,63.56793870516968,17518,0.004329599999999999,success,1128_dp_batch,"benchmark,data_processor,gpt-4o-mini",13736,3782,0.0020604,0.0022692
8,05_dp,054627b5,100.16890295129394,18718,0.0049299,success,1128_dp_batch,"benchmark,data_processor,gpt-4o-mini",14002,4716,0.0021003000000000003,0.0028296
9,25_dp,25f05669,126.28891649179079,34920,0.008351999999999998,error,1128_dp_batch,"benchmark,data_processor,gpt-4o-mini",28000,6920,0.004200000000000001,0.0041519999999999994
10,d9_dp,d930534f,102.28667289166259,23230,0.0058335,success,1128_dp_batch,"benchmark,data_processor,gpt-4o-mini",18010,5220,0.0027015,0.003132
11,cf_dp,cff03552,85.22794291302489,19012,0.004962299999999999,success,1128_dp_batch,"benchmark,data_processor,gpt-4o-mini",14322,4690,0.0021483,0.002814
12,19_dp,193fc55a,129.09543573846435,27598,0.0072177,success,1128_dp_batch,"benchmark,data_processor,gpt-4o-mini",20758,6840,0.0031137,0.004104
13,69_dp,694d3197,86.41674368334961,19182,0.0051615,success,1128_dp_batch,"benchmark,data_processor,gpt-4o-mini",14106,5076,0.0021159,0.0030456
14,93_dp,93b8bfd0,65.3797488979187,17572,0.0043971,success,1128_dp_batch,"benchmark,data_processor,gpt-4o-mini",13658,3914,0.0020487,0.0023484
15,b9_dp,b961301a,78.46950532855223,17390,0.0043122,success,1128_dp_batch,"benchmark,data_processor,gpt-4o-mini",13604,3786,0.0020406,0.0022716000000000004
16,1d_dp,1d62cb84,93.99390522052002,22402,0.0055608,success,1128_dp_batch,"benchmark,data_processor,gpt-4o-mini",17512,4890,0.0026268000000000003,0.002934
17,46_dp,46f13a7a,60.04380911651611,20526,0.0048051,error,1128_dp_batch,"benchmark,data_processor,gpt-4o-mini",16690,3836,0.0025035,0.0023016
18,38_dp,3800b88f,149.0391780149231,36578,0.0095826,success,1128_dp_batch,"benchmark,data_processor,gpt-4o-mini",27476,9102,0.004121400000000001,0.005461199999999999
19,cc_dp,cccb137a,72.47796235485839,18552,0.0048744,success,1128_dp_batch,"benchmark,data_processor,gpt-4o-mini",13904,4648,0.0020856,0.0027888
