name,latency,time,num_run,total_tokens,input_tokens,output_tokens,total_cost,input_cost,output_cost,pass,task
data_processor_run,38.510229,2024-10-24 22:23:17.097674,29,11060,8707,2353,0.07883,0.043535,0.035295,yes,data_processor
data_processor_run,40.627826,2024-10-24 22:22:14.899109,28,9964,8093,1871,0.06853,0.040465,0.028065,yes,data_processor
data_processor_run,41.314028,2024-10-24 22:21:11.901572,27,10422,8119,2303,0.07514,0.040595,0.034545,yes,data_processor
data_processor_run,37.155723,2024-10-24 22:20:13.011618,26,8867,6688,2179,0.066125,0.03344,0.032685,yes,data_processor
data_processor_run,67.115685,2024-10-24 22:18:44.317243,25,14003,10940,3063,0.100645,0.0547,0.045945,yes,data_processor
data_processor_run,47.12736,2024-10-24 22:17:35.638962,24,11411,8830,2581,0.082865,0.04415,0.038715,yes,data_processor
data_processor_run,38.331924,2024-10-24 22:16:35.466756,23,10869,8683,2186,0.076205,0.043415,0.03279,yes,data_processor
data_processor_run,35.873108,2024-10-24 22:15:37.756447,22,8957,6990,1967,0.064455,0.03495,0.029505,yes,data_processor
data_processor_run,45.648605,2024-10-24 22:14:30.523701,21,9394,7000,2394,0.07091,0.035,0.03591,yes,data_processor
data_processor_run,37.741815,2024-10-24 22:13:31.186267,20,9273,6935,2338,0.069745,0.034675,0.03507,yes,data_processor
data_processor_run,44.253596,2024-10-24 22:12:25.324087,19,10643,7907,2736,0.080575,0.039535,0.04104,yes,data_processor
data_processor_run,51.263826,2024-10-24 22:11:12.460665,18,11787,8696,3091,0.089845,0.04348,0.046365,yes,data_processor
data_processor_run,45.35593,2024-10-24 22:10:05.532724,17,9669,6947,2722,0.075565,0.034735,0.04083,yes,data_processor
data_processor_run,31.68113,2024-10-24 22:09:12.176031,16,9058,7031,2027,0.06556,0.035155,0.030405,yes,data_processor
data_processor_run,36.45136,2024-10-24 22:08:14.056722,15,10471,8090,2381,0.076165,0.04045,0.035715,yes,data_processor
data_processor_run,37.079405,2024-10-24 22:07:15.383540,14,10998,8748,2250,0.07749,0.04374,0.03375,yes,data_processor
data_processor_run,45.140581,2024-10-24 22:06:08.651283,13,9361,6904,2457,0.071375,0.03452,0.036855,yes,data_processor
data_processor_run,73.880756,2024-10-24 22:04:33.210385,12,16115,12256,3859,0.119165,0.06128,0.057885,yes,data_processor
data_processor_run,49.601003,2024-10-24 22:03:22.005814,11,9570,6956,2614,0.07399,0.03478,0.03921,yes,data_processor
data_processor_run,33.422693,2024-10-24 22:02:27.040930,10,9024,6914,2110,0.06622,0.03457,0.03165,yes,data_processor
data_processor_run,55.457699,2024-10-24 22:01:10.030515,9,12541,9482,3059,0.093295,0.04741,0.045885,yes,data_processor
data_processor_run,63.889325,2024-10-24 21:59:44.562242,8,21777,17517,4260,0.151485,0.087585,0.0639,yes,data_processor
data_processor_run,34.713638,2024-10-24 21:58:48.311576,7,10870,8513,2357,0.07792,0.042565,0.035355,yes,data_processor
data_processor_run,39.785019,2024-10-24 21:57:46.961177,6,10752,8669,2083,0.07459,0.043345,0.031245,yes,data_processor
data_processor_run,37.307215,2024-10-24 21:56:47.965930,5,8856,6788,2068,0.06496,0.03394,0.03102,yes,data_processor
data_processor_run,32.688257,2024-10-24 21:55:53.707458,4,9368,6966,2402,0.07086,0.03483,0.03603,yes,data_processor
data_processor_run,67.465524,2024-10-24 21:54:24.626624,3,18704,14257,4447,0.13799,0.071285,0.066705,yes,data_processor
data_processor_run,35.481304,2024-10-24 21:53:27.517662,2,8587,6756,1831,0.061245,0.03378,0.027465,yes,data_processor
data_processor_run,43.233968,2024-10-24 21:52:22.622858,1,10599,8062,2537,0.078365,0.04031,0.038055,yes,data_processor
data_processor_run,37.489508,2024-10-24 21:51:23.579477,0,9271,7011,2260,0.068955,0.035055,0.0339,yes,data_processor
